"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"5","11LQ03","Grasshopper Sparrow","D","PROB","1","7",4.17,0.0536,1,"#FFFF00","#FFFF00"
"5","11LQ06","Grasshopper Sparrow","M","PROB","1","1",0.96,0.0096,1,"#FFFF00","#FFFF00"
"5","11LQ07","Grasshopper Sparrow","S","POSS","1","1",2.08,0.0208,1,"#FFA500","#FFA500"
"5","11LQ08","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ13","Grasshopper Sparrow","S","POSS","1","3",2.27,0.0227,1,"#FFA500","#FFA500"
"5","11LQ14","Grasshopper Sparrow","S","POSS","1","1",1.28,0.0128,1,"#FFA500","#FFA500"
"5","11LQ15","Grasshopper Sparrow","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR36","Grasshopper Sparrow","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"7","11LR37","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR46","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ03","Grasshopper Sparrow","D","PROB","1","7",4.17,0.0536,1,"#FFFF00","#FFFF00"
"5","11LQ06","Grasshopper Sparrow","M","PROB","1","1",0.96,0.0096,1,"#FFFF00","#FFFF00"
"5","11LQ07","Grasshopper Sparrow","S","POSS","1","1",2.08,0.0208,1,"#FFA500","#FFA500"
"5","11LQ08","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ13","Grasshopper Sparrow","S","POSS","1","3",2.27,0.0227,1,"#FFA500","#FFA500"
"5","11LQ14","Grasshopper Sparrow","S","POSS","1","1",1.28,0.0128,1,"#FFA500","#FFA500"
"5","11LQ15","Grasshopper Sparrow","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR36","Grasshopper Sparrow","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"7","11LR37","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR46","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ03","Grasshopper Sparrow","D","PROB","1","7",4.17,0.0536,1,"#FFFF00","#FFFF00"
"5","11LQ06","Grasshopper Sparrow","M","PROB","1","1",0.96,0.0096,1,"#FFFF00","#FFFF00"
"5","11LQ07","Grasshopper Sparrow","S","POSS","1","1",2.08,0.0208,1,"#FFA500","#FFA500"
"5","11LQ08","Grasshopper Sparrow","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
