"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
2,"11NR87","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
25,"10CD42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10EH91","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10EH92","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FG17","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FG78","Yellow Rail","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH02","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH03","Yellow Rail","T","PROB",1,1,0.93,0.0093,1,"#FFA500","#FFA500"
41,"10FH11","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH12","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
2,"11NR87","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
25,"10CD42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10EH91","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10EH92","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FG17","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FG78","Yellow Rail","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH02","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH03","Yellow Rail","T","PROB",1,1,0.93,0.0093,1,"#FFA500","#FFA500"
41,"10FH11","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH12","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
2,"11NR87","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
25,"10CD42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10EH91","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10EH92","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FG17","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FG78","Yellow Rail","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH02","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH03","Yellow Rail","T","PROB",1,1,0.93,0.0093,1,"#FFA500","#FFA500"
41,"10FH11","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH12","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
2,"11NR87","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
25,"10CD42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10EH91","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10EH92","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FG17","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FG78","Yellow Rail","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH02","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH03","Yellow Rail","T","PROB",1,1,0.93,0.0093,1,"#FFA500","#FFA500"
41,"10FH11","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH12","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
2,"11NR87","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
25,"10CD42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10EH91","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10EH92","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FG17","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FG78","Yellow Rail","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH02","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH03","Yellow Rail","T","PROB",1,1,0.93,0.0093,1,"#FFA500","#FFA500"
41,"10FH11","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH12","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH13","Yellow Rail","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
41,"10FH42","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
41,"10FH66","Yellow Rail","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
